category,2026-nfl-draft,airdrops,basketball,best-of-2025,congress,economic-policy,grooming-gangs,la-liga,league-of-legends,ligue-1,natural-disasters,nba-champion,new-mexico-primary,primaries,roland-garros,serie-a,south-carolina-primary,south-dakota-primary,taylor-swift,uefa-europa-league,ufc,usdptai,west-virginia-primary
2026-nfl-draft,0.0017987210824899585,-2.4082905209562778e-08,9.800761292756918e-10,-1.0806799052597724e-06,5.37884691820538e-06,3.281753432116366e-08,-4.097750351575702e-07,-2.522845127692747e-07,-1.4855752629407777e-07,-1.8183465954521356e-08,-3.452418490129299e-07,-2.8400842062297963e-08,2.4426445638267764e-08,-5.0743928504457755e-08,1.4310146813901487e-08,9.372921017597093e-06,-7.672797982515532e-08,-1.696400867976137e-08,-5.286112603141322e-08,-3.744382220274881e-08,-9.86788559632248e-08,-3.418517220824836e-08,-5.330014944962956e-08
airdrops,-2.4082905209562778e-08,9.432482792481238e-05,2.526571538810035e-10,-2.7859214296045637e-07,-2.4834552412738588e-08,8.460143626908173e-09,-1.0563729798307083e-07,-6.503728135042036e-08,-3.8297149231457556e-08,-4.687577442740269e-09,-2.3848035992625028e-06,-7.3215495296131715e-09,6.2969763776963925e-09,-1.3081449664681895e-08,3.6890613469905508e-09,-2.526454076496176e-08,-1.9779966501161626e-08,-4.373209410383498e-09,-1.3627249205540213e-08,-9.652770091608822e-09,-2.543875740992223e-08,-8.812711642564329e-09,-1.37404265435245e-08
basketball,9.800761292756918e-10,2.526571538810035e-10,0.0007507541184605445,1.1337565245698934e-08,1.0106651082650752e-09,-1.10540154330348e-05,4.29900766595862e-09,2.6467523917866914e-09,1.5585379527295066e-09,1.9076530492413498e-10,3.6219809119019385e-09,2.979572381672851e-10,-7.439497405805232e-07,5.32361708070985e-10,-1.5012976774009217e-10,1.0281638824460769e-09,8.049640538376815e-10,1.7797180672949436e-10,-1.4021535355847562e-05,3.9282841774486145e-10,-4.069080322139537e-06,3.5864146123206366e-10,5.591793823959477e-10
best-of-2025,-1.0806799052597724e-06,-2.7859214296045637e-07,1.1337565245698934e-08,0.10807720559339414,-1.1144088105246874e-06,3.7963472984900984e-07,-4.740296246771617e-06,-2.918438719769601e-06,-1.7185202218351517e-06,-2.103471613012201e-07,-3.99377341392989e-06,-3.2854223288956125e-07,2.825662342668703e-07,-5.870080732068782e-07,1.6554042929091869e-07,-1.1337038153299505e-06,-8.875927608613349e-07,-1.9624042407549577e-07,-6.114999105069317e-07,-4.3315183850627576e-07,-1.1415214945398529e-06,-3.954556271386529e-07,-6.165785533793913e-07
congress,5.37884691820538e-06,-2.4834552412738588e-08,1.0106651082650752e-09,-1.1144088105246874e-06,0.0005447727056070551,3.3841796455362365e-08,-4.2256444974137865e-07,1.7642303224371207e-06,-1.5319412840574427e-07,-1.8750986825021167e-08,-3.560171299838912e-07,-2.9287255612416773e-08,2.518881501969302e-08,-2.556813738334396e-07,1.4756778220539938e-08,2.6164426800440142e-06,-7.912272294020401e-08,-1.7493469289593657e-08,-5.4510965084988344e-08,-3.8612474572138536e-08,-1.0175870390731637e-07,-3.525211944143474e-08,-5.4963690783786356e-08
economic-policy,3.281753432116366e-08,8.460143626908173e-09,-1.10540154330348e-05,3.7963472984900984e-07,3.3841796455362365e-08,0.00012041486322464728,1.4395089055858918e-07,8.862565352062328e-08,5.2187142637886055e-08,6.38771494849163e-09,1.21280867206551e-07,9.977002395739654e-09,1.988195926991408e-08,1.7825960763687765e-08,-5.027047040806233e-09,3.442773728700179e-08,2.6953962733100645e-08,5.959328771593126e-09,1.9204835555415955e-05,1.3153733364772627e-08,-1.6898414780878712e-06,1.2008994109130532e-08,1.872394197276943e-08
grooming-gangs,-4.097750351575702e-07,-1.0563729798307083e-07,4.29900766595862e-09,-4.740296246771617e-06,-4.2256444974137865e-07,1.4395089055858918e-07,0.01145866746018856,-1.1066212327796962e-06,-6.516329959445552e-07,-7.975998720619893e-08,-1.5143694568015346e-06,-1.2457750382681969e-07,1.0714420432682984e-07,-2.2258325769304713e-07,6.277005328083648e-08,-4.2988078016814314e-07,-3.3655974633869816e-07,-7.44109576605322e-08,-2.318701366678958e-07,-1.6424364790035914e-07,-4.328451082337446e-07,-8.843772397637414e-07,5.096339254294425e-06
la-liga,-2.522845127692747e-07,-6.503728135042036e-08,2.6467523917866914e-09,-2.918438719769601e-06,1.7642303224371207e-06,8.862565352062328e-08,-1.1066212327796962e-06,0.005474732147341326,-4.011882100700362e-07,-4.9105503713908505e-08,-9.323456232879803e-07,-7.669812008649136e-08,6.596503218955644e-08,-1.3703692001659805e-07,3.8645380879213444e-08,-2.6466293421681115e-07,-2.072083566295312e-07,-4.581228866434942e-08,-1.427545346497524e-07,-1.0111921208195656e-07,-2.664879699011521e-07,-9.231903890223815e-08,-1.4394014283620145e-07
league-of-legends,-1.4855752629407777e-07,-3.8297149231457556e-08,1.5585379527295066e-09,-1.7185202218351517e-06,-1.5319412840574427e-07,5.2187142637886055e-08,-6.516329959445552e-07,-4.011882100700362e-07,0.0010058739234538082,-2.8915735171723007e-08,-5.490109477050694e-07,-4.5163624458688106e-08,3.884345454432144e-08,-8.069407679909375e-08,2.275630050806427e-08,-1.558465495063471e-07,-1.2201446910257257e-07,-7.352560323096612e-07,-8.406088943804582e-08,1.4291325112679484e-07,-1.5692122025679623e-07,-5.436198955940631e-08,-8.475903383620855e-08
ligue-1,-1.8183465954521356e-08,-4.687577442740269e-09,1.9076530492413498e-10,-2.103471613012201e-07,-1.8750986825021167e-08,6.38771494849163e-09,-7.975998720619893e-08,-4.9105503713908505e-08,-2.8915735171723007e-08,0.0005718141136786829,-6.71990314142074e-08,-5.5280351538806454e-09,2.239326401872871e-06,-9.876968436476648e-09,2.785374971309922e-09,-1.9075643609385916e-08,-1.4934591334627876e-08,-3.3019315457888265e-09,-1.0289066864089069e-08,-7.288191138081394e-09,-1.9207183488184077e-08,-6.6539165738170604e-09,-1.0374519854670924e-08
natural-disasters,-3.452418490129299e-07,-2.3848035992625028e-06,3.6219809119019385e-09,-3.99377341392989e-06,-3.560171299838912e-07,1.21280867206551e-07,-1.5143694568015346e-06,-9.323456232879803e-07,-5.490109477050694e-07,-6.71990314142074e-08,0.018597318125882625,-1.0495848716124862e-07,9.027066082390645e-08,-1.875298611486043e-07,5.2884747478535415e-08,-3.621812523139789e-07,-2.835568279180695e-07,-6.269239071547362e-08,-1.9535420132005614e-07,-1.3837783130918205e-07,-3.6467874487609566e-07,-1.2633512592528474e-07,2.091310967155241e-06
nba-champion,-2.8400842062297963e-08,-7.3215495296131715e-09,2.979572381672851e-10,-3.2854223288956125e-07,-2.9287255612416773e-08,9.977002395739654e-09,-1.2457750382681969e-07,-7.669812008649136e-08,-4.5163624458688106e-08,-5.5280351538806454e-09,-1.0495848716124862e-07,0.0002973986040552992,7.42599076053177e-09,-1.542688403411534e-08,4.350490431379243e-09,-2.9794338589899705e-08,-2.3326409322658425e-08,-5.15730260485105e-09,-1.6070542530576295e-08,-1.1383460444240628e-08,-2.9999791352973174e-08,-1.039278398196181e-08,-1.6204011963485645e-08
new-mexico-primary,2.4426445638267764e-08,6.2969763776963925e-09,-7.439497405805232e-07,2.825662342668703e-07,2.518881501969302e-08,1.988195926991408e-08,1.0714420432682984e-07,6.596503218955644e-08,3.884345454432144e-08,2.239326401872871e-06,9.027066082390645e-08,7.42599076053177e-09,8.24798341830994e-05,1.3268055341479487e-08,-3.741685467944353e-09,2.5624937116228474e-08,3.1853785694633894e-06,7.526354324966564e-08,1.3821640662609088e-08,9.790465969519155e-09,2.580163894561265e-08,8.93842416393183e-09,1.3936432464914862e-08
primaries,-5.0743928504457755e-08,-1.3081449664681895e-08,5.32361708070985e-10,-5.870080732068782e-07,-2.556813738334396e-07,1.7825960763687765e-08,-2.2258325769304713e-07,-1.3703692001659805e-07,-8.069407679909375e-08,-9.876968436476648e-09,-1.875298611486043e-07,-1.542688403411534e-08,1.3268055341479487e-08,0.0008683100585856259,7.773043310651916e-09,-5.323369581532712e-08,-4.1677413801262105e-08,-9.214578711517003e-09,-6.422283534012866e-08,-2.033888648966122e-08,9.259468059631222e-06,3.3321520061804856e-06,-2.895179032920491e-08
roland-garros,1.4310146813901487e-08,3.6890613469905508e-09,-1.5012976774009217e-10,1.6554042929091869e-07,1.4756778220539938e-08,-5.027047040806233e-09,6.277005328083648e-08,3.8645380879213444e-08,2.275630050806427e-08,2.785374971309922e-09,5.2884747478535415e-08,4.350490431379243e-09,-3.741685467944353e-09,7.773043310651916e-09,9.253349158022641e-05,1.5012278808822234e-08,1.1753325528735382e-08,2.5985763829553347e-09,8.09735931375369e-09,5.735709872615502e-09,1.5115798950811443e-08,5.2365441933308765e-09,8.164609685271363e-09
serie-a,9.372921017597093e-06,-2.526454076496176e-08,1.0281638824460769e-09,-1.1337038153299505e-06,2.6164426800440142e-06,3.442773728700179e-08,-4.2988078016814314e-07,-2.6466293421681115e-07,-1.558465495063471e-07,-1.9075643609385916e-08,-3.621812523139789e-07,-2.9794338589899705e-08,2.5624937116228474e-08,-5.323369581532712e-08,1.5012278808822234e-08,0.0017338854954941437,-8.049266304200542e-08,-1.779635326791113e-08,-5.545477432565693e-08,-3.928101548403309e-08,-1.035205660375566e-07,-3.5862478770610624e-08,-5.591533857028444e-08
south-carolina-primary,-7.672797982515532e-08,-1.9779966501161626e-08,8.049640538376815e-10,-8.875927608613349e-07,-7.912272294020401e-08,2.6953962733100645e-08,-3.3655974633869816e-07,-2.072083566295312e-07,-1.2201446910257257e-07,-1.4934591334627876e-08,-2.835568279180695e-07,-2.3326409322658425e-08,3.1853785694633894e-06,-4.1677413801262105e-08,1.1753325528735382e-08,-8.049266304200542e-08,0.000540702765891648,-1.3431726973305767e-07,-4.3416327599042093e-08,-3.075366291570845e-08,-8.104771614309034e-08,-2.8077242144652265e-08,-4.377690986393129e-08
south-dakota-primary,-1.696400867976137e-08,-4.373209410383498e-09,1.7797180672949436e-10,-1.9624042407549577e-07,-1.7493469289593657e-08,5.959328771593126e-09,-7.44109576605322e-08,-4.581228866434942e-08,-7.352560323096612e-07,-3.3019315457888265e-09,-6.269239071547362e-08,-5.15730260485105e-09,7.526354324966564e-08,-9.214578711517003e-09,2.5985763829553347e-09,-1.779635326791113e-08,-1.3431726973305767e-07,0.0003692985031425344,-9.599040140400383e-09,-3.3892073987365756e-08,-1.791907154677085e-08,-6.207677831881277e-09,-9.678762305447496e-09
taylor-swift,-5.286112603141322e-08,-1.3627249205540213e-08,-1.4021535355847562e-05,-6.114999105069317e-07,-5.4510965084988344e-08,1.9204835555415955e-05,-2.318701366678958e-07,-1.427545346497524e-07,-8.406088943804582e-08,-1.0289066864089069e-08,-1.9535420132005614e-07,-1.6070542530576295e-08,1.3821640662609088e-08,-6.422283534012866e-08,8.09735931375369e-09,-5.545477432565693e-08,-4.3416327599042093e-08,-9.599040140400383e-09,0.0004736414884772306,-2.118748929685518e-08,-3.6589667605163574e-06,-1.9343590682370665e-08,-3.015975078265185e-08
uefa-europa-league,-3.744382220274881e-08,-9.652770091608822e-09,3.9282841774486145e-10,-4.3315183850627576e-07,-3.8612474572138536e-08,1.3153733364772627e-08,-1.6424364790035914e-07,-1.0111921208195656e-07,1.4291325112679484e-07,-7.288191138081394e-09,-1.3837783130918205e-07,-1.1383460444240628e-08,9.790465969519155e-09,-2.033888648966122e-08,5.735709872615502e-09,-3.928101548403309e-08,-3.075366291570845e-08,-3.3892073987365756e-08,-2.118748929685518e-08,7.66076596215961e-05,-3.9551885506645666e-08,-1.3701902033698815e-08,-2.136345611165635e-08
ufc,-9.86788559632248e-08,-2.543875740992223e-08,-4.069080322139537e-06,-1.1415214945398529e-06,-1.0175870390731637e-07,-1.6898414780878712e-06,-4.328451082337446e-07,-2.664879699011521e-07,-1.5692122025679623e-07,-1.9207183488184077e-08,-3.6467874487609566e-07,-2.9999791352973174e-08,2.580163894561265e-08,9.259468059631222e-06,1.5115798950811443e-08,-1.035205660375566e-07,-8.104771614309034e-08,-1.791907154677085e-08,-3.6589667605163574e-06,-3.9551885506645666e-08,0.0007723680189694215,-3.610977559620781e-08,-5.63009138624758e-08
usdptai,-3.418517220824836e-08,-8.812711642564329e-09,3.5864146123206366e-10,-3.954556271386529e-07,-3.525211944143474e-08,1.2008994109130532e-08,-8.843772397637414e-07,-9.231903890223815e-08,-5.436198955940631e-08,-6.6539165738170604e-09,-1.2633512592528474e-07,-1.039278398196181e-08,8.93842416393183e-09,3.3321520061804856e-06,5.2365441933308765e-09,-3.5862478770610624e-08,-2.8077242144652265e-08,-6.207677831881277e-09,-1.9343590682370665e-08,-1.3701902033698815e-08,-3.610977559620781e-08,0.00010860706186798641,-2.2027376602192396e-08
west-virginia-primary,-5.330014944962956e-08,-1.37404265435245e-08,5.591793823959477e-10,-6.165785533793913e-07,-5.4963690783786356e-08,1.872394197276943e-08,5.096339254294425e-06,-1.4394014283620145e-07,-8.475903383620855e-08,-1.0374519854670924e-08,2.091310967155241e-06,-1.6204011963485645e-08,1.3936432464914862e-08,-2.895179032920491e-08,8.164609685271363e-09,-5.591533857028444e-08,-4.377690986393129e-08,-9.678762305447496e-09,-3.015975078265185e-08,-2.136345611165635e-08,-5.63009138624758e-08,-2.2027376602192396e-08,0.00026451608956658387
