label,best-of-2025::43730668550917761725713780192382120243054780302570603837017194778854370301083,serie-a::11843131838379676792721059608342146205696413823676149302931627463939711085828,colombia-election::75712298340810272859765060308006832993211601931382911468417184675550881103879,nba-champion::106572879185916710503631021854572801471104977091252507745096331167318654083650,ligue-1::19730444129256957174015889379846911816814301308831812906398054285035177752584,taylor-swift::332462812953361158016354695716232633373752944798478737086328444144960550554,colombia-election::36553834009124167357981460132800746681781045509640776189348736916365216865880,new-mexico-primary::31317702573839002987249831884538721320741670016050389364356636973937868446333,ufc::51613719567621754724891717390585755097347351696566637940067208667324364080624,airdrops::57301498276970257025109591078431189727442302532145853906375186182281603517458,primaries::7345183309756257693783741573478340128830660331823026035095352170224920670792,uefa-europa-league::81085168149210534701056807267483472863288984314426354863145129521956049193057,ligue-1::49662274238485451283220527378586398370959042852997899886824914466317758572224,roland-garros::103950812176015306889097643332505690876545410954871160290129574415932884036868,la-liga::2317130722330994677503722994963086323403276367952762140016618274858179343506,nba::24315108267836543154857233535536136482524552716493402526894829400485516895736,trump::70856964451000367399890160498024750244429237612837060181812389247926102048759,prediction-markets::44488146241641686838477630423381146915926290111161217223359635890474557300976,south-dakota-primary::6676305416092353520750099363203230548628101142538374719045668193435729818451,fifa-world-cup::59293102456409671843831538939564589910493616612575646727452668236549896586814
best-of-2025::43730668550917761725713780192382120243054780302570603837017194778854370301083,1.0,-0.0008099910896153302,-0.0004203110636494653,-0.0003378891748824909,-0.00034951184542277963,-0.0004933497546726634,-0.00034951184542278234,0.0007696764206610202,0.0006735420142866425,-0.0007472036309922633,0.0008148214814786487,-0.0007032644541796537,0.0007667284596460012,0.0007994567509300393,0.000552732675061133,0.00028819642567575794,-0.00866135116588202,-0.01051246227955095,-7.073694199739301e-05,-3.5526178043391226e-05
serie-a::11843131838379676792721059608342146205696413823676149302931627463939711085828,-0.0008099910896153303,1.0,-0.0007120433645749745,-0.0005724135425981508,-0.0005921033536752089,-0.000835777236457244,-0.0005921033536752105,0.0013038985541873635,0.0011410385391026287,-0.0012658277010716003,0.0013803781993325958,-0.00119139092792877,0.001298904452767457,0.0013543490143270278,0.0009363770495208377,0.00048822971923430175,-0.0012317682220111393,-0.00013811122225725606,-0.00011983450957068876,-6.0184424185421494e-05
colombia-election::75712298340810272859765060308006832993211601931382911468417184675550881103879,-0.00042031106364946535,-0.0007120433645749744,1.0,-0.00029703011307327383,-0.0003072473185993126,-0.0004336917081349424,-0.00030724731859930744,0.0006766037246925256,0.0005920943183004797,-0.0006568484446995977,0.0007162896439707158,-0.0006182225885693081,0.0006740122442346752,0.0007027828849756049,0.00048589378168093265,0.0002533464321121155,-0.0006391746998216785,-7.166705346899939e-05,-6.218311636426542e-05,-3.123019458957058e-05
nba-champion::106572879185916710503631021854572801471104977091252507745096331167318654083650,-0.0003378891748824909,-0.0005724135425981507,-0.0002970301130732738,1.0,-0.0002469969314273449,-0.00034864591034726244,-0.00024699693142734484,0.0005439235224353695,0.00047598618729202295,-0.0005280422006390179,0.0005758271378266202,-0.0004969907728139489,0.0005418402244464424,0.0005649690185742567,0.0003906112952325842,0.00020366586632888608,-0.0005138342304227911,-5.761333368824995e-05,-4.9989171585230445e-05,-2.510603596694864e-05
ligue-1::19730444129256957174015889379846911816814301308831812906398054285035177752584,-0.00034951184542277963,-0.0005921033536752089,-0.00030724731859931254,-0.0002469969314273449,1.0,-0.0003606385897593662,-0.0002554931016862461,0.0005626333372809847,0.0004923591019867752,-0.0005462057317185134,0.0005956343693351698,-0.0005140862006742692,0.0005604783782624361,0.0005844027538238519,0.00040404749482489735,0.00021067153990652785,-0.0005315090374793076,-5.95951100988734e-05,-5.1708692999667444e-05,-2.5969630323644823e-05
taylor-swift::332462812953361158016354695716232633373752944798478737086328444144960550554,-0.0004933497546726634,-0.000835777236457244,-0.0004336917081349424,-0.00034864591034726244,-0.0003606385897593662,1.0,-0.00036063858975936725,0.0007941791460099499,0.0006949842912539627,-0.0007709909328485437,0.0008407614043256175,-0.0007256529479750582,0.000791137336363009,0.0008249075360529114,0.0005703289747071153,0.00029737118753062796,-0.0007502459692875979,-8.412084835466562e-05,-7.298885957633712e-05,-3.6657157452305397e-05
colombia-election::36553834009124167357981460132800746681781045509640776189348736916365216865880,-0.0003495118454227824,-0.0005921033536752105,-0.0003072473185993075,-0.00024699693142734484,-0.0002554931016862461,-0.0003606385897593673,0.9999999999999999,0.0005626333372809825,0.0004923591019867681,-0.0005462057317185066,0.0005956343693351642,-0.0005140862006742631,0.0005604783782624404,0.0005844027538238501,0.00040404749482490023,0.00021067153990652902,-0.0005315090374793102,-5.95951100988714e-05,-5.170869299966846e-05,-2.596963032364286e-05
new-mexico-primary::31317702573839002987249831884538721320741670016050389364356636973937868446333,0.0007696764206610203,0.0013038985541873637,0.0006766037246925256,0.0005439235224353696,0.0005626333372809847,0.0007941791460099499,0.0005626333372809825,1.0,-0.0010842470613224465,0.0012028252490987742,-0.001311674369313582,0.0011320933239545908,-0.0012342557131850486,-0.0012869407022342099,-0.000889771930956169,-0.00046392967475610496,0.0011704609697024701,0.0001312371858936991,0.00011387013706760341,5.718894044696027e-05
ufc::51613719567621754724891717390585755097347351696566637940067208667324364080624,0.0006735420142866424,0.0011410385391026287,0.0005920943183004797,0.000475986187292023,0.0004923591019867751,0.0006949842912539627,0.0004923591019867681,-0.0010842470613224465,1.0,0.0010525895290088643,0.006258530590560366,0.0009906921887018107,-0.0010800942537508055,-0.0011261987629890564,-0.000778637311140743,-0.00040598376049276393,0.0010242676246990008,0.00011484535080369922,9.964748747498528e-05,5.0045906447911305e-05
airdrops::57301498276970257025109591078431189727442302532145853906375186182281603517458,-0.0007472036309922633,-0.0012658277010716003,-0.0006568484446995978,-0.0005280422006390179,-0.0005462057317185134,-0.0007709909328485437,-0.0005462057317185066,0.0012028252490987742,0.0010525895290088643,1.0,0.0012733764801952422,-0.0010990387902938149,0.00119821827161179,0.0012493649795783971,0.0008637926272893387,0.09708383348440924,-0.0011362861886106566,-0.00012740536047181657,-0.00011054538971770393,-5.551915429327097e-05
primaries::7345183309756257693783741573478340128830660331823026035095352170224920670792,0.0008148214814786488,0.0013803781993325958,0.0007162896439707158,0.0005758271378266201,0.0005956343693351698,0.0008407614043256173,0.0005956343693351642,-0.001311674369313582,0.006258530590560366,0.001273376480195242,1.0,0.0011984958024367496,-0.001306650485508208,-0.0013624256913951733,-0.000941961145616454,-0.0004911412831927737,0.001239113887010871,0.00013893485023635572,0.00012054914414802754,6.0543334742109214e-05
uefa-europa-league::81085168149210534701056807267483472863288984314426354863145129521956049193057,-0.0007032644541796537,-0.00119139092792877,-0.0006182225885693081,-0.000496990772813949,-0.0005140862006742692,-0.0007256529479750581,-0.0005140862006742631,0.001132093323954591,0.0009906921887018107,-0.0010990387902938146,0.0011984958024367494,1.0,0.0011277572589605087,0.0011758962938491033,0.0008129974552564097,0.00042389923965046775,-0.00106946708110073,-0.00011991331087723783,-0.00010404478770888619,-5.225436028559077e-05
ligue-1::49662274238485451283220527378586398370959042852997899886824914466317758572224,0.0007667284596460012,0.001298904452767457,0.0006740122442346752,0.0005418402244464424,0.000560478378262436,0.000791137336363009,0.0005604783782624404,-0.0012342557131850484,-0.0010800942537508055,0.00119821827161179,-0.0013066504855082078,0.001127757258960509,1.0,-0.001282011551597655,-0.000886363988482807,-0.00046215276363061796,0.0011659779516241474,0.0001307345303655414,0.00011343399960017513,5.696989935072333e-05
roland-garros::103950812176015306889097643332505690876545410954871160290129574415932884036868,0.0007994567509300392,0.001354349014327028,0.000702782884975605,0.0005649690185742567,0.0005844027538238519,0.0008249075360529114,0.0005844027538238501,-0.0012869407022342099,-0.0011261987629890564,0.001249364979578397,-0.0013624256913951733,0.0011758962938491033,-0.0012820115515976547,1.0,-0.000924198998301194,0.033817898861825124,0.001215748461054743,0.00013631501682962336,0.00011827600192018632,5.9401695688685115e-05
la-liga::2317130722330994677503722994963086323403276367952762140016618274858179343506,0.000552732675061133,0.0009363770495208376,0.00048589378168093265,0.00039061129523258417,0.0004040474948248974,0.0005703289747071152,0.00040404749482490023,-0.0008897719309561691,-0.0007786373111407429,0.0008637926272893386,-0.0009419611456164538,0.0008129974552564097,-0.000886363988482807,-0.0009241989983011941,1.0,-0.000333164799238559,0.0008405506593051987,9.42462038322834e-05,8.177429343216716e-05,4.106946138484543e-05
nba::24315108267836543154857233535536136482524552716493402526894829400485516895736,0.00028819642567575794,0.00048822971923430175,0.0002533464321121155,0.00020366586632888608,0.00021067153990652785,0.00029737118753062796,0.00021067153990652905,-0.000463929674756105,-0.00040598376049276393,0.09708383348440924,-0.0004911412831927737,0.00042389923965046775,-0.00046215276363061796,0.033817898861825124,-0.00033316479923855907,1.0,0.0004382655604436078,4.914024501078717e-05,4.2637354624828274e-05,2.1413736711385645e-05
trump::70856964451000367399890160498024750244429237612837060181812389247926102048759,-0.00866135116588202,-0.0012317682220111393,-0.0006391746998216784,-0.0005138342304227912,-0.0005315090374793076,-0.0007502459692875979,-0.0005315090374793102,0.0011704609697024701,0.001024267624699001,-0.0011362861886106564,0.0012391138870108708,-0.00106946708110073,0.0011659779516241474,0.001215748461054743,0.0008405506593051987,0.0004382655604436077,1.0,0.03528516648855968,-0.00010757095774474704,-5.402530685138806e-05
prediction-markets::44488146241641686838477630423381146915926290111161217223359635890474557300976,-0.01051246227955095,-0.00013811122225725606,-7.166705346899937e-05,-5.761333368824995e-05,-5.95951100988734e-05,-8.412084835466562e-05,-5.959511009887141e-05,0.0001312371858936991,0.00011484535080369923,-0.00012740536047181654,0.00013893485023635572,-0.00011991331087723783,0.0001307345303655414,0.00013631501682962336,9.42462038322834e-05,4.914024501078717e-05,0.035285166488559686,1.0,-1.206132467783084e-05,-6.0575528973187495e-06
south-dakota-primary::6676305416092353520750099363203230548628101142538374719045668193435729818451,-7.073694199739302e-05,-0.00011983450957068875,-6.21831163642654e-05,-4.9989171585230445e-05,-5.170869299966745e-05,-7.298885957633712e-05,-5.170869299966846e-05,0.0001138701370676034,9.964748747498528e-05,-0.00011054538971770392,0.00012054914414802755,-0.00010404478770888619,0.00011343399960017513,0.00011827600192018633,8.177429343216716e-05,4.2637354624828274e-05,-0.00010757095774474702,-1.206132467783084e-05,0.9999999999999998,-5.255936981693016e-06
fifa-world-cup::59293102456409671843831538939564589910493616612575646727452668236549896586814,-3.5526178043391226e-05,-6.01844241854215e-05,-3.123019458957058e-05,-2.510603596694864e-05,-2.5969630323644823e-05,-3.6657157452305397e-05,-2.5969630323642858e-05,5.718894044696027e-05,5.0045906447911305e-05,-5.551915429327097e-05,6.054333474210922e-05,-5.225436028559076e-05,5.696989935072333e-05,5.940169568868511e-05,4.106946138484543e-05,2.1413736711385645e-05,-5.402530685138806e-05,-6.057552897318749e-06,-5.255936981693016e-06,1.0
