category,airdrops,basketball,best-of-2025,claude-5,colombia-election,economic-policy,grooming-gangs,hockey,ligue-1,nba,nba-champion,primaries,republican-primary,serie-a,south-dakota-midterm,tennis,uefa-europa-league,west-virginia-primary
airdrops,0.00012063374421933028,-1.0739631271058745e-07,-4.3865236651994263e-07,-1.9804847101523865e-08,-2.607862437243987e-08,1.588649780819357e-08,-8.116135655737589e-08,3.776604692835822e-06,-7.380742746916892e-09,1.3856005513896943e-05,-1.8729910706845438e-08,-2.1047902399730455e-08,-3.690371373458448e-08,-1.0532893727294717e-08,-4.2603107352582565e-08,-2.4296166965514024e-06,-1.4260440875038402e-08,-2.1022845778172033e-08
basketball,-1.0739631271058745e-07,0.007854665960883744,-4.898418008949312e-06,-2.2116014208754328e-07,-2.9121922739877007e-07,1.7740405136797384e-07,6.993737665524869e-07,-5.015527288822205e-07,-1.4419029784602982e-05,2.0085233787553818e-07,1.1708892358772264e-05,-2.3504130385389532e-07,-4.121026802812803e-07,-1.1762051286638455e-07,-4.757476403209989e-07,-2.074088049195379e-06,-1.5924592166692243e-07,-2.3476149730171244e-07
best-of-2025,-4.3865236651994263e-07,-4.898418008949312e-06,0.13672331614697597,-9.033123880893195e-07,-1.1894635863227999e-06,7.245938431098081e-07,-3.7018240250273944e-06,-2.048555354517613e-06,-3.366406376385273e-07,8.203666504602456e-07,-8.542838166116662e-07,-9.600089757577019e-07,-1.6832031881926534e-06,-4.804123625656044e-07,-1.9431563619456817e-06,-8.471460594760046e-06,-6.504282934376594e-07,-9.588661264066738e-07
claude-5,-1.9804847101523865e-08,-2.2116014208754328e-07,-9.033123880893195e-07,0.0021022604210512584,-5.3703447782222295e-08,3.271490448654043e-08,3.717028226541143e-05,-9.249083937948819e-08,-1.5199088994969062e-08,3.703897965592137e-08,-3.857031595093574e-08,-4.334373283292686e-08,-7.599544497484425e-08,-2.1690281672882746e-08,2.0226930047977962e-05,-3.824805121578674e-07,-2.936638186688531e-08,-1.3646979530382664e-05
colombia-election,-2.607862437243987e-08,-2.9121922739877007e-07,-1.1894635863227999e-06,-5.3703447782222295e-08,0.0008122296172282512,4.307832830575677e-08,-2.2007969319179036e-07,-1.21790077232344e-07,-2.0013854723098964e-08,4.8772183528289715e-08,-5.0788616365202804e-08,-5.707415571828903e-08,-1.000692736154949e-07,-2.8561326698450085e-08,-1.155239290332037e-07,-5.036426464295119e-07,-3.8669061061583573e-08,-5.7006211393320357e-08
economic-policy,1.588649780819357e-08,1.7740405136797384e-07,7.245938431098081e-07,3.271490448654043e-08,4.307832830575677e-08,0.00011388509877531045,1.340674842962273e-07,7.419171223832306e-08,1.2191979709176544e-08,-2.9710891788519285e-08,3.0939256267660994e-08,3.476826218952398e-08,6.095989854588191e-08,1.7398902929618432e-08,7.037451896118505e-08,3.0680750964268174e-07,2.3556302089651482e-08,3.4726872070387276e-08
grooming-gangs,-8.116135655737589e-08,6.993737665524869e-07,-3.7018240250273944e-06,3.717028226541143e-05,-2.2007969319179036e-07,1.340674842962273e-07,0.0036388739468250974,-3.79032564840777e-07,-6.228670562031899e-08,1.5178778300916594e-07,-1.5806328366876425e-07,-1.2314031773193233e-07,-3.1143352810159204e-07,-8.888797149800796e-08,1.4974299068615544e-06,-1.5674262499660693e-06,-1.2034505377802527e-07,2.159024832508646e-06
hockey,3.776604692835822e-06,-5.015527288822205e-07,-2.048555354517613e-06,-9.249083937948819e-08,-1.21790077232344e-07,7.419171223832306e-08,-3.79032564840777e-07,0.0013972702061454635,-3.446888978273915e-08,3.81249966763054e-05,-8.747076682281883e-08,-7.329033211432716e-08,-1.7234444891369397e-07,-4.9189785557978825e-08,-1.9896125120357803e-07,-8.67399264651897e-07,-6.659784545130059e-08,-9.817902870955016e-08
ligue-1,-7.380742746916892e-09,-1.4419029784602982e-05,-3.366406376385273e-07,-1.5199088994969062e-08,-2.0013854723098964e-08,1.2191979709176544e-08,-6.228670562031899e-08,-3.446888978273915e-08,0.0007233957440344107,1.3803448168383825e-08,-1.4374136707132553e-08,-1.6153062939139034e-08,-2.832149253268775e-08,-8.083394348618343e-09,-3.2695451613170635e-08,-1.4254037163099436e-07,-1.0944073885353808e-08,-1.613383341320377e-08
nba,1.3856005513896943e-05,2.0085233787553818e-07,8.203666504602456e-07,3.703897965592137e-08,4.8772183528289715e-08,-2.9710891788519285e-08,1.5178778300916594e-07,3.81249966763054e-05,1.3803448168383825e-08,0.0003820508825559383,3.502863607438317e-08,3.936373882550441e-08,6.90172408419188e-08,1.9698593707055815e-08,7.967623372310326e-08,3.473596296946131e-07,2.6669843839107574e-08,3.931687798929865e-08
nba-champion,-1.8729910706845438e-08,1.1708892358772264e-05,-8.542838166116662e-07,-3.857031595093574e-08,-5.0788616365202804e-08,3.0939256267660994e-08,-1.5806328366876425e-07,-8.747076682281883e-08,-1.4374136707132553e-08,3.502863607438317e-08,0.000463974553335237,-4.0991189757764625e-08,-7.187068353566415e-08,-2.0513010620926637e-08,-8.297036087465238e-08,-3.6172083546527276e-07,4.527107567786158e-06,-4.094239151129483e-08
primaries,-2.1047902399730455e-08,-2.3504130385389532e-07,-9.600089757577019e-07,-4.334373283292686e-08,-5.707415571828903e-08,3.476826218952398e-08,-1.2314031773193233e-07,-7.329033211432716e-08,-1.6153062939139034e-08,3.936373882550441e-08,-4.0991189757764625e-08,0.0011048032771228521,-8.07653146956913e-08,-2.3051676659413584e-08,-9.323867503125965e-08,-4.0648698010286706e-07,-3.120956885952701e-08,-4.6009373671298216e-08
republican-primary,-3.690371373458448e-08,-4.121026802812803e-07,-1.6832031881926534e-06,-7.599544497484425e-08,-1.000692736154949e-07,6.095989854588191e-08,-3.1143352810159204e-07,-1.7234444891369397e-07,-2.832149253268775e-08,6.90172408419188e-08,-7.187068353566415e-08,-8.07653146956913e-08,0.0009156093082882509,-4.0416971743093175e-08,-1.6347725806585338e-07,-7.127018581549733e-07,-5.47203694267689e-08,-8.066916706601905e-08
serie-a,-1.0532893727294717e-08,-1.1762051286638455e-07,-4.804123625656044e-07,-2.1690281672882746e-08,-2.8561326698450085e-08,1.7398902929618432e-08,-8.888797149800796e-08,-4.9189785557978825e-08,-8.083394348618343e-09,1.9698593707055815e-08,-2.0513010620926637e-08,-2.3051676659413584e-08,-4.0416971743093175e-08,0.0010409606806418017,-4.665895141126547e-08,-2.0341619234262844e-07,-3.796254904182657e-07,-2.3024234630875986e-08
south-dakota-midterm,-4.2603107352582565e-08,-4.757476403209989e-07,-1.9431563619456817e-06,2.0226930047977962e-05,-1.155239290332037e-07,7.037451896118505e-08,1.4974299068615544e-06,-1.9896125120357803e-07,-3.2695451613170635e-08,7.967623372310326e-08,-8.297036087465238e-08,-9.323867503125965e-08,-1.6347725806585338e-07,-4.665895141126547e-08,0.0014537992755672988,-8.227712254581335e-07,-6.317135965849478e-08,2.252289660155868e-05
tennis,-2.4296166965514024e-06,-2.074088049195379e-06,-8.471460594760046e-06,-3.824805121578674e-07,-5.036426464295119e-07,3.0680750964268174e-07,-1.5674262499660693e-06,-8.67399264651897e-07,-1.4254037163099436e-07,3.473596296946131e-07,-3.6172083546527276e-07,-4.0648698010286706e-07,-7.127018581549733e-07,-2.0341619234262844e-07,-8.227712254581335e-07,0.027646678152044073,-2.7540433417747007e-07,-4.060030748549743e-07
uefa-europa-league,-1.4260440875038402e-08,-1.5924592166692243e-07,-6.504282934376594e-07,-2.936638186688531e-08,-3.8669061061583573e-08,2.3556302089651482e-08,-1.2034505377802527e-07,-6.659784545130059e-08,-1.0944073885353808e-08,2.6669843839107574e-08,4.527107567786158e-06,-3.120956885952701e-08,-5.47203694267689e-08,-3.796254904182657e-07,-6.317135965849478e-08,-2.7540433417747007e-07,9.976306362417518e-05,-3.1172415211575244e-08
west-virginia-primary,-2.1022845778172033e-08,-2.3476149730171244e-07,-9.588661264066738e-07,-1.3646979530382664e-05,-5.7006211393320357e-08,3.4726872070387276e-08,2.159024832508646e-06,-9.817902870955016e-08,-1.613383341320377e-08,3.931687798929865e-08,-4.094239151129483e-08,-4.6009373671298216e-08,-8.066916706601905e-08,-2.3024234630875986e-08,2.252289660155868e-05,-4.060030748549743e-07,-3.1172415211575244e-08,0.00033472948446401787
