label,tennis::54935126197359005865759470122412489520668573958432708236792605627229004170180,grooming-gangs::65075454639388714811293775905500639483433054272204316386263594369997153544149,republican-primary::107927272895121873896592780561794303301515708678562694349024225854697593171909,nba-champion::106572879185916710503631021854572801471104977091252507745096331167318654083650,colombia-election::75712298340810272859765060308006832993211601931382911468417184675550881103879,west-virginia-primary::85804162766623143925505734230172858069182216823432975004068744981960196178654,primaries::7345183309756257693783741573478340128830660331823026035095352170224920670792,airdrops::57301498276970257025109591078431189727442302532145853906375186182281603517458,ligue-1::49662274238485451283220527378586398370959042852997899886824914466317758572224,uefa-europa-league::81085168149210534701056807267483472863288984314426354863145129521956049193057,grooming-gangs::34554555827438551101000555305203609600029621153428996114009350892614396532498,economic-policy::18690049947242812495755151360212639738977254879109748949267393375856311641700,basketball::15836779649189929164270969373755572966867849674701133146273205335577116500317,south-dakota-midterm::67967023811721834738685695249992484419619114809767608640505747182577663027691,nba::24315108267836543154857233535536136482524552716493402526894829400485516895736,hockey::59261866601270864198456845856841875150453626184437295894384368539724334278520,nba-champion::5644679982684846699855787022092402984369447277920326773883608030240292167917,claude-5::11966409881281293602137861492007400834690026843003461391578987664208256196909,serie-a::11843131838379676792721059608342146205696413823676149302931627463939711085828,best-of-2025::63415064977569429650854303533694905713854849186055984415925532647266316927744
tennis::54935126197359005865759470122412489520668573958432708236792605627229004170180,1.0,-0.0008623392540462142,-0.0007006290123444883,-0.0005269202885842816,-0.0005256052346482428,-0.0008491264951366652,-0.00043146391356801343,-0.0010900083347709871,0.0009588788790144611,-0.0008444997193852309,-0.0005279895299063103,0.0009645717818962623,0.0006912170393916278,0.0005663560848878671,0.000306079767787284,-0.00018443516285542993,7.823745137093992e-05,-5.844874385203726e-05,-0.00013819346745599446,-4.391167036600525e-05
grooming-gangs::65075454639388714811293775905500639483433054272204316386263594369997153544149,-0.0008623392540462142,1.0,-0.0009522244461763126,-0.0007161370299201028,-0.0007143497409499377,0.0021423269306682954,-0.0005864023311960223,-0.0014814296362517007,0.0013032116761256536,-0.001147759032839292,0.0013008389501501063,0.0013109488968205429,0.0009394326397073367,0.005180553658874156,0.00041599281821307695,-0.00025066571282534694,0.00010633247052194999,0.0027823749632670544,-0.00018781865394518503,-5.9680323335498103e-05
republican-primary::107927272895121873896592780561794303301515708678562694349024225854697593171909,-0.0007006290123444883,-0.0009522244461763125,1.0,-0.0005818433726888403,-0.0005803912452343006,-0.0009376344666803526,-0.0004764371843385416,-0.0012036244181564933,0.001058826796107771,-0.000932525422928926,-0.0005830240654625077,0.0010651130938361035,0.0007632654543255307,0.0006253897253783571,0.0003379837297205985,-0.0002036596037828516,8.639246497521222e-05,-6.45410985097339e-05,-0.00015259794494572803,-4.848876564385899e-05
nba-champion::106572879185916710503631021854572801471104977091252507745096331167318654083650,-0.0005269202885842816,-0.0007161370299201028,-0.0005818433726888403,0.9999999999999998,-0.0004364933752989964,-0.00070516438095609,-0.0003583129077454,-0.0009052067707556867,0.0007963091895080659,-0.0007013220353488414,-0.0004384734337464668,0.0008010369095350368,0.0005740271190224116,0.00047033526840590227,0.00025418656844545357,-0.00015316576291798682,6.497296254393093e-05,-4.853926065450273e-05,-0.00011476395035242035,-3.646682329163353e-05
colombia-election::75712298340810272859765060308006832993211601931382911468417184675550881103879,-0.0005256052346482428,-0.0007143497409499377,-0.0005803912452343006,-0.00043649337529899645,1.0,-0.0007034044768210267,-0.00035741865332044947,-0.0009029476136258613,0.000794321811992617,-0.0006995717206940511,-0.0004373791198105883,0.000799037732878505,0.0005725944988735613,0.0004691614357420834,0.0002535521858745699,-0.00015278350160872304,6.481080718194803e-05,-4.841811947402745e-05,-0.00011447752982943207,-3.637581172775436e-05
west-virginia-primary::85804162766623143925505734230172858069182216823432975004068744981960196178654,-0.0008491264951366654,0.002142326930668295,-0.0009376344666803526,-0.00070516438095609,-0.0007034044768210267,1.0,-0.0005774174768133223,-0.0014587311767609414,0.0012832438715708152,-0.0011301730731186805,-0.0007065953201536798,0.001290862542598414,0.0009250386562234986,0.1334873515080163,0.0004096189777675999,-0.00024682501368645675,0.00010470324479591455,0.0029752454145586206,-0.0001849408972135239,-5.876590163872789e-05
primaries::7345183309756257693783741573478340128830660331823026035095352170224920670792,-0.0004314639135680134,-0.0005864023311960223,-0.0004764371843385416,-0.0003583129077454,-0.00035741865332044947,-0.0005774174768133223,0.9999999999999999,-0.0007412203787936903,0.0006520505791083726,-0.0005742712068577005,-1.6815865615180928e-05,0.0006559218299014873,0.0004700369157031772,0.00038512978147171607,0.000208138373059361,-0.0001254183999458129,5.320252285337399e-05,-3.974593466491632e-05,-9.397342297944177e-05,-2.9860528496779517e-05
airdrops::57301498276970257025109591078431189727442302532145853906375186182281603517458,-0.0010900083347709874,-0.0014814296362517007,-0.001203624418156493,-0.0009052067707556868,-0.0009029476136258614,-0.0014587311767609414,-0.0007412203787936904,0.9999999999999998,0.001647276964701064,-0.0014507827473159128,-0.0009070436415409793,0.0016570569150000279,0.0011874554039285714,0.0009729543041066443,0.12329174557574482,0.05127687850967557,0.00013440566294747883,-0.0001004102514617189,-0.00023740528714785096,-7.543672580401258e-05
ligue-1::49662274238485451283220527378586398370959042852997899886824914466317758572224,0.0009588788790144611,0.0013032116761256536,0.001058826796107771,0.0007963091895080657,0.000794321811992617,0.0012832438715708152,0.0006520505791083726,0.001647276964701064,0.9999999999999998,0.0012762516487840206,0.0007979250822891512,-0.0014577107591128755,-0.0010446029358462815,-0.0008559066042830719,-0.00046256357383081884,0.000278727956072436,-0.00011823648251951337,8.833076435456463e-05,0.00020884511462040058,6.636158712554478e-05
uefa-europa-league::81085168149210534701056807267483472863288984314426354863145129521956049193057,-0.0008444997193852308,-0.0011477590328392918,-0.000932525422928926,-0.0007013220353488415,-0.0006995717206940511,-0.0011301730731186805,-0.0005742712068577005,-0.0014507827473159128,0.0012762516487840206,1.0,-0.000702745177551735,0.00128382880670072,0.0009199982453444637,0.0007538104164729487,0.00040738701920251967,-0.0002454800974758356,0.00010413273093620281,-7.779429429834547e-05,-0.00018393317920733802,-5.8445694166378046e-05
grooming-gangs::34554555827438551101000555305203609600029621153428996114009350892614396532498,-0.0005279895299063103,0.0013008389501501063,-0.0005830240654625076,-0.0004384734337464668,-0.00043737911981058826,-0.0007065953201536797,-1.6815865615180928e-05,-0.0009070436415409793,0.0007979250822891512,-0.0007027451775517351,1.0,0.0008026623959372593,0.0005751919508364807,0.00047128968582934195,0.00025470237090812874,-0.0001534765711491,6.510480748873695e-05,-4.863775787382803e-05,-0.00011499683255615853,-3.6540822784901327e-05
economic-policy::18690049947242812495755151360212639738977254879109748949267393375856311641700,0.0009645717818962623,0.0013109488968205427,0.0010651130938361035,0.0008010369095350368,0.000799037732878505,0.0012908625425984137,0.0006559218299014873,0.0016570569150000279,-0.0014577107591128755,0.00128382880670072,0.0008026623959372592,0.9999999999999999,-0.0010508047859380636,-0.0008609881565841025,-0.0004653098325712176,0.0002803827752775483,-0.00011893845732237931,8.885518769306879e-05,0.00021008503655514833,6.675557856581193e-05
basketball::15836779649189929164270969373755572966867849674701133146273205335577116500317,0.0006912170393916278,0.0009394326397073367,0.0007632654543255307,0.0005740271190224116,0.0005725944988735614,0.0009250386562234985,0.00047003691570317714,0.0011874554039285712,-0.0010446029358462815,0.0009199982453444637,0.0005751919508364806,-0.0010508047859380636,1.0,-0.0006169884872387022,-0.0003334433900164386,0.00020092372124212572,-8.52319027813146e-05,6.367407892758825e-05,0.00015054800452763605,4.783738675044111e-05
south-dakota-midterm::67967023811721834738685695249992484419619114809767608640505747182577663027691,0.0005663560848878672,0.005180553658874156,0.0006253897253783571,0.0004703352684059023,0.0004691614357420834,0.1334873515080163,0.000385129781471716,0.0009729543041066443,-0.0008559066042830717,0.0007538104164729487,0.0004712896858293419,-0.0008609881565841026,-0.0006169884872387022,1.0,-0.00027321041313979274,0.0001646290031043693,-6.98356724673003e-05,0.01378993207403909,0.0001233531200373631,3.9196075222760186e-05
nba::24315108267836543154857233535536136482524552716493402526894829400485516895736,0.00030607976778728406,0.00041599281821307695,0.0003379837297205985,0.0002541865684454536,0.0002535521858745699,0.0004096189777675999,0.00020813837305936098,0.12329174557574481,-0.00046256357383081884,0.00040738701920251967,0.00025470237090812874,-0.0004653098325712176,-0.0003334433900164386,-0.00027321041313979274,1.0,0.13969289526813566,-3.7741779390066174e-05,2.8195698574474065e-05,6.666458672259255e-05,2.118300822128639e-05
hockey::59261866601270864198456845856841875150453626184437295894384368539724334278520,-0.00018443516285542993,-0.00025066571282534694,-0.00020365960378285162,-0.00015316576291798682,-0.00015278350160872304,-0.0002468250136864567,-0.00012541839994581287,0.051276878509675564,0.000278727956072436,-0.0002454800974758356,-0.0001534765711491,0.0002803827752775483,0.00020092372124212572,0.00016462900310436934,0.13969289526813566,1.0,2.274214750809041e-05,-1.698994447100957e-05,-4.0170227512115325e-05,-1.2764292129809165e-05
nba-champion::5644679982684846699855787022092402984369447277920326773883608030240292167917,7.823745137093992e-05,0.00010633247052194997,8.639246497521222e-05,6.497296254393093e-05,6.481080718194803e-05,0.00010470324479591455,5.320252285337399e-05,0.00013440566294747883,-0.00011823648251951336,0.00010413273093620282,6.510480748873695e-05,-0.00011893845732237931,-8.523190278131459e-05,-6.98356724673003e-05,-3.774177939006618e-05,2.274214750809041e-05,1.0,7.207139537635243e-06,1.7040222552368088e-05,5.4146165477849e-06
claude-5::11966409881281293602137861492007400834690026843003461391578987664208256196909,-5.844874385203726e-05,0.002782374963267054,-6.45410985097339e-05,-4.853926065450273e-05,-4.841811947402744e-05,0.0029752454145586206,-3.974593466491632e-05,-0.0001004102514617189,8.833076435456462e-05,-7.779429429834547e-05,-4.8637757873828034e-05,8.885518769306879e-05,6.367407892758823e-05,0.013789932074039089,2.819569857447406e-05,-1.698994447100957e-05,7.207139537635244e-06,1.0,-1.2730215334123948e-05,-4.045090044638341e-06
serie-a::11843131838379676792721059608342146205696413823676149302931627463939711085828,-0.00013819346745599446,-0.000187818653945185,-0.00015259794494572803,-0.00011476395035242035,-0.00011447752982943209,-0.00018494089721352394,-9.397342297944179e-05,-0.00023740528714785096,0.00020884511462040058,-0.000183933179207338,-0.00011499683255615854,0.00021008503655514833,0.00015054800452763605,0.00012335312003736306,6.666458672259256e-05,-4.017022751211532e-05,1.7040222552368088e-05,-1.2730215334123948e-05,1.0,-9.564021099503912e-06
best-of-2025::63415064977569429650854303533694905713854849186055984415925532647266316927744,-4.391167036600525e-05,-5.9680323335498103e-05,-4.8488765643858996e-05,-3.646682329163353e-05,-3.637581172775436e-05,-5.876590163872789e-05,-2.9860528496779517e-05,-7.54367258040126e-05,6.636158712554478e-05,-5.8445694166378046e-05,-3.654082278490132e-05,6.675557856581194e-05,4.783738675044111e-05,3.919607522276019e-05,2.118300822128639e-05,-1.2764292129809165e-05,5.414616547784901e-06,-4.045090044638341e-06,-9.564021099503912e-06,1.0
