label,serie-a::11843131838379676792721059608342146205696413823676149302931627463939711085828,colombia-election::75712298340810272859765060308006832993211601931382911468417184675550881103879,natural-disasters::52742072726655342667303322232600981394438522628089364540756474997538505603610,best-of-2025::63415064977569429650854303533694905713854849186055984415925532647266316927744,ligue-1::19730444129256957174015889379846911816814301308831812906398054285035177752584,colombia-election::36553834009124167357981460132800746681781045509640776189348736916365216865880,basketball::19063193541024384703688685779087142926481547676681055667364352656903314720497,usdptai::98158796044377636258136387686150629224849539987469386154218798602717443073847,primaries::7345183309756257693783741573478340128830660331823026035095352170224920670792,nba-champion::106572879185916710503631021854572801471104977091252507745096331167318654083650,ligue-1::49662274238485451283220527378586398370959042852997899886824914466317758572224,uefa-europa-league::81085168149210534701056807267483472863288984314426354863145129521956049193057,new-mexico-primary::31317702573839002987249831884538721320741670016050389364356636973937868446333,roland-garros::103950812176015306889097643332505690876545410954871160290129574415932884036868,roland-garros::105613341399685861009197861581557509935693217771512271914219867408091037703768,la-liga::2317130722330994677503722994963086323403276367952762140016618274858179343506,la-liga::88657857917663921842097927058013051966750383205171131721194307619909198186324,nba::24315108267836543154857233535536136482524552716493402526894829400485516895736,hockey::115394635451048754011327777276076337527696490170069916864086987480603951060926,awards::73768610008619570600930429495180540710817177537162503586781057110775077618432
serie-a::11843131838379676792721059608342146205696413823676149302931627463939711085828,1.0,-0.000730566349741284,0.0018240665384584112,-0.0006235348371223961,-0.000607505190197403,-0.0006075051901974055,-0.0004705060010810245,0.001451244985894328,0.0014142312032884366,-0.00031861877468722773,0.00133271129482269,-0.001222991209526131,0.0010502637420429716,0.0013896011772130895,0.0017614852001777274,0.0009607397340222225,-0.0014941950088585869,0.0005009289671589667,0.0004136687868814702,-0.04120441878289474
colombia-election::75712298340810272859765060308006832993211601931382911468417184675550881103879,-0.000730566349741284,1.0,0.0009504539111071527,-0.0003249010450876439,-0.00031654858628621586,-0.00031654858628621824,-0.00024516335314433404,0.0007561903273460753,0.0007369038080766782,-0.00016602051195433536,0.0006944267853361332,-0.0006372556887788399,0.0005472537652943332,0.0007240700083657546,0.0009178450799723603,0.0005006061009864179,-0.0007785700028940096,0.00026101564059471846,0.00021554757356972661,-0.0002157169537672158
natural-disasters::52742072726655342667303322232600981394438522628089364540756474997538505603610,0.001824066538458411,0.0009504539111071527,0.9999999999999999,0.0008112078045538405,0.0007903535171657964,0.000790353517165791,0.0006121199930508787,-0.0018880440815627019,-0.0018398898044664571,0.00041451739552591995,-0.0017338338440984048,0.0015910899520014778,-0.0013663745690891526,-0.001807846575781933,-0.002291661118061578,-0.0012499054166412423,0.0019439213024653348,-0.0006516997343112312,-0.000538175781752982,0.0005385986875583648
best-of-2025::63415064977569429650854303533694905713854849186055984415925532647266316927744,-0.0006235348371223961,-0.00032490104508764396,0.0008112078045538405,1.0,-0.0002701726835094464,-0.00027017268350944674,-0.00020924573315670404,0.0006454047777621316,0.0006289438270824865,-0.00014169770195011499,0.0005926898941366932,-0.0005438946404371743,0.0004670784351459145,0.0006179902412579474,0.0007833763252945202,0.00042726487984504313,-0.0006645057223273602,0.00022277558363077916,0.0001839688088912406,-0.0001841133740685076
ligue-1::19730444129256957174015889379846911816814301308831812906398054285035177752584,-0.0006075051901974031,-0.00031654858628621586,0.0007903535171657963,-0.00027017268350944636,1.0,-0.00026322716504343464,-0.00020386650649064598,0.0006288129049503781,0.0006127751274628923,-0.00013805497984845143,0.0005774531997719238,-0.0005299123598466683,0.00045507092256455217,0.0006021031331435528,0.0007632375212433754,0.0004162808822243632,-0.0006474228081509733,0.000217048535619172,0.0001792393938270456,-0.00017938024256600844
colombia-election::36553834009124167357981460132800746681781045509640776189348736916365216865880,-0.0006075051901974055,-0.00031654858628621824,0.000790353517165791,-0.0002701726835094468,-0.00026322716504343464,1.0,-0.0002038665064906459,0.000628812904950373,0.0006127751274628921,-0.00013805497984845064,0.000577453199771926,-0.0005299123598466628,0.0004550709225645509,0.0006021031331435575,0.0007632375212433792,0.00041628088222436354,-0.0006474228081509735,0.0002170485356191719,-0.02631490298816986,-0.00017938024256600762
basketball::19063193541024384703688685779087142926481547676681055667364352656903314720497,-0.0004705060010810245,-0.00024516335314433404,0.0006121199930508787,-0.00020924573315670404,-0.00020386650649064598,-0.0002038665064906459,1.0,0.00048700858875001585,0.00047458750877634094,-0.00010692204370584788,0.00044723106933101454,-0.00041041121850143397,-0.003101367775178488,0.0004663221680816856,0.0005911189563310954,0.0003224049051469268,-0.0005014217514302831,0.0001681016725165511,0.00013881891346203165,-0.00013892799924104977
usdptai::98158796044377636258136387686150629224849539987469386154218798602717443073847,0.0014512449858943282,0.0007561903273460753,-0.0018880440815627019,0.0006454047777621316,0.0006288129049503781,0.0006288129049503729,0.0004870085887500158,0.9999999999999998,-0.0014638341294208814,0.0003297940503482838,-0.0013794549812575644,0.0012658865596539399,-0.0010871008268810173,-0.0014383402266603031,-0.001823267757417746,-0.0009944368423510206,0.0015466025957365642,-0.0005184986138318979,-0.00042817785882901064,0.0004285143267794013
primaries::7345183309756257693783741573478340128830660331823026035095352170224920670792,0.0014142312032884366,0.0007369038080766782,-0.0018398898044664571,0.0006289438270824863,0.0006127751274628923,0.0006127751274628921,0.00047458750877634094,-0.0014638341294208816,1.0,0.00032138270326150355,-0.001344272191799449,0.0012336003155130934,-0.0010593744856581657,-0.0014016555779756469,-0.0017767655906152215,-0.000969073881957815,0.0015071567317971792,-0.0005052743855586784,-0.0004172572476727985,0.00041758513405930114
nba-champion::106572879185916710503631021854572801471104977091252507745096331167318654083650,-0.0003186187746872278,-0.00016602051195433536,0.00041451739552591995,-0.00014169770195011496,-0.00013805497984845143,-0.00013805497984845064,-0.00010692204370584788,0.0003297940503482838,0.00032138270326150355,0.9999999999999998,0.000302857381170299,-0.0002779235955681213,0.00023867144196116532,0.00031578555313281317,0.00040029584559575585,0.00021832719581696107,-0.0003395544024415605,0.00011383563397074619,9.40058405398905e-05,-9.407971160033724e-05
ligue-1::49662274238485451283220527378586398370959042852997899886824914466317758572224,0.0013327112948226902,0.0006944267853361331,-0.001733833844098405,0.0005926898941366932,0.0005774531997719237,0.000577453199771926,0.00044723106933101454,-0.0013794549812575644,-0.001344272191799449,0.000302857381170299,0.9999999999999999,0.0011624924340223294,-0.0009983094272002456,-0.001320860560759624,-0.001674348271597467,-0.0009132139815610274,0.00142028035788181,-0.0004761490759451719,-0.00039320547130280244,0.00039351445747824563
uefa-europa-league::81085168149210534701056807267483472863288984314426354863145129521956049193057,-0.0012229912095261311,-0.0006372556887788399,0.0015910899520014778,-0.0005438946404371744,-0.0005299123598466683,-0.0005299123598466628,-0.00041041121850143397,0.0012658865596539399,0.0012336003155130936,-0.0002779235955681213,0.0011624924340223294,0.9999999999999998,0.0009161201368938631,0.0012121161282974773,-0.020345631779504283,0.0008380304693178781,-0.001303350845378101,0.00043694844980091504,0.00036083346543925384,-0.00036111701325482946
new-mexico-primary::31317702573839002987249831884538721320741670016050389364356636973937868446333,0.0010502637420429716,0.0005472537652943332,-0.0013663745690891526,0.0004670784351459144,0.00045507092256455217,0.0004550709225645509,-0.0031013677751784885,-0.0010871008268810173,-0.0010593744856581657,0.00023867144196116534,-0.0009983094272002456,0.0009161201368938631,1.0,-0.0010409245878305344,-0.0013194960439238547,-0.0007196723981302067,0.0011192738961648724,-0.00037523664143555456,-0.00030987165133706304,0.0003101151526701168
roland-garros::103950812176015306889097643332505690876545410954871160290129574415932884036868,0.0013896011772130898,0.0007240700083657546,-0.0018078465757819329,0.0006179902412579474,0.0006021031331435528,0.0006021031331435575,0.00046632216808168564,-0.0014383402266603033,-0.0014016555779756469,0.0003157855531328131,-0.001320860560759624,0.0012121161282974773,-0.0010409245878305346,1.0,-0.0017458217232158492,-0.0009521966451057196,0.0014809083294726744,0.03380408826324218,-0.00040999036170224216,0.0004103125376714941
roland-garros::105613341399685861009197861581557509935693217771512271914219867408091037703768,0.0017614852001777274,0.0009178450799723601,-0.002291661118061578,0.0007833763252945202,0.0007632375212433756,0.0007632375212433791,0.0005911189563310954,-0.001823267757417746,-0.0017767655906152213,0.0004002958455957558,-0.001674348271597467,-0.020345631779504283,-0.0013194960439238549,-0.0017458217232158492,1.0,-0.0012070227958330133,0.0018772279039210905,-0.0006293407684125197,-0.0005197116742534622,0.0005201200707135468
la-liga::2317130722330994677503722994963086323403276367952762140016618274858179343506,0.0009607397340222225,0.0005006061009864178,-0.0012499054166412423,0.00042726487984504313,0.0004162808822243632,0.00041628088222436354,0.0003224049051469268,-0.0009944368423510206,-0.0009690738819578151,0.00021832719581696107,-0.0009132139815610273,0.0008380304693178781,-0.0007196723981302067,-0.0009521966451057197,-0.0012070227958330133,1.0,0.001023867493709419,-0.00034325163923771277,-0.00028345833143539264,0.00028368107682455663
la-liga::88657857917663921842097927058013051966750383205171131721194307619909198186324,-0.0014941950088585866,-0.0007785700028940096,0.0019439213024653348,-0.0006645057223273602,-0.0006474228081509733,-0.0006474228081509735,-0.0005014217514302831,0.001546602595736564,0.0015071567317971792,-0.00033955440244156054,0.0014202803578818098,-0.0013033508453781009,0.0011192738961648726,0.0014809083294726744,0.0018772279039210903,0.001023867493709419,1.0,0.0005338437330829196,-0.0073189234207515835,-0.0004411963345414124
nba::24315108267836543154857233535536136482524552716493402526894829400485516895736,0.0005009289671589667,0.00026101564059471846,-0.0006516997343112311,0.00022277558363077916,0.000217048535619172,0.0002170485356191719,0.0001681016725165511,-0.0005184986138318979,-0.0005052743855586784,0.0001138356339707462,-0.0004761490759451719,0.000436948449800915,-0.00037523664143555456,0.03380408826324219,-0.0006293407684125197,-0.00034325163923771277,0.0005338437330829196,0.9999999999999999,-0.00014779495858266726,0.00014791109785930017
hockey::115394635451048754011327777276076337527696490170069916864086987480603951060926,0.0004136687868814702,0.0002155475735697266,-0.000538175781752982,0.0001839688088912406,0.00017923939382704564,-0.02631490298816986,0.00013881891346203163,-0.00042817785882901064,-0.0004172572476727985,9.400584053989052e-05,-0.00039320547130280244,0.0003608334654392539,-0.00030987165133706304,-0.0004099903617022422,-0.0005197116742534622,-0.00028345833143539264,-0.007318923420751584,-0.00014779495858266726,1.0,0.00012214547057395872
awards::73768610008619570600930429495180540710817177537162503586781057110775077618432,-0.041204418782894735,-0.0002157169537672158,0.0005385986875583649,-0.0001841133740685076,-0.00017938024256600844,-0.00017938024256600762,-0.00013892799924104977,0.0004285143267794013,0.0004175851340593012,-9.407971160033725e-05,0.0003935144574782457,-0.00036111701325482946,0.0003101151526701168,0.00041031253767149416,0.0005201200707135468,0.00028368107682455663,-0.0004411963345414124,0.00014791109785930017,0.00012214547057395872,0.9999999999999999
