label,tennis::54935126197359005865759470122412489520668573958432708236792605627229004170180,republican-primary::107927272895121873896592780561794303301515708678562694349024225854697593171909,primaries::7345183309756257693783741573478340128830660331823026035095352170224920670792,claude-5::11966409881281293602137861492007400834690026843003461391578987664208256196909,celebrities::21892918566477480200155854255443225580146195615682253469077750770879493669279,ligue-1::19730444129256957174015889379846911816814301308831812906398054285035177752584,nba::24315108267836543154857233535536136482524552716493402526894829400485516895736,middle-east::92230933527175957699173261837562970961226561473212829507303559647834156802557,ligue-1::49662274238485451283220527378586398370959042852997899886824914466317758572224,south-dakota-midterm::67967023811721834738685695249992484419619114809767608640505747182577663027691,hockey::59261866601270864198456845856841875150453626184437295894384368539724334278520,nba-champion::5644679982684846699855787022092402984369447277920326773883608030240292167917,serie-a::11843131838379676792721059608342146205696413823676149302931627463939711085828,best-of-2025::63415064977569429650854303533694905713854849186055984415925532647266316927744,epstein::108548893345759572446077602443398325305734327289834850738242401844282632332811
tennis::54935126197359005865759470122412489520668573958432708236792605627229004170180,1.0,-0.0009503694685725756,-0.0007104452512921908,5.420825205029925e-05,-0.0010353637815257277,-0.0005039936997010837,0.0003529460565678797,0.0007868550293529423,0.001105809521130104,0.0008011746615130078,-0.0002802496985409702,1.1130087552907256e-05,0.000494548607360268,-5.063477753518888e-05,0.00323115374354776
republican-primary::107927272895121873896592780561794303301515708678562694349024225854697593171909,-0.0009503694685725756,1.0,-0.000921674602916285,7.032543196308027e-05,-0.0013431978051453707,-0.0006538409429853139,0.00045788386360019485,0.001020802511400406,0.0014345884491941908,0.0010393796519485737,-0.00036357344798962533,1.4439281573198836e-05,0.0006415876388539928,-6.568949316448595e-05,-0.0001552018539186575
primaries::7345183309756257693783741573478340128830660331823026035095352170224920670792,-0.0007104452512921908,-0.0009216746029162849,1.0,5.2571521745415117e-05,-0.001004102650356499,-0.0004887764268584998,0.0003422894224776245,0.0007630972171494731,0.0010724213950385393,0.0007769844912270596,-0.00027178801314830907,1.0794032599926627e-05,0.00047961651377143006,-4.910594250107089e-05,-0.00011602058331468695
claude-5::11966409881281293602137861492007400834690026843003461391578987664208256196909,5.420825205029925e-05,7.032543196308027e-05,5.257152174541511e-05,0.9999999999999999,7.66148404199953e-05,3.729452156263417e-05,-2.6117299333156834e-05,-5.822569186137955e-05,-8.182768366829357e-05,0.014722839738393275,2.0737914841707107e-05,-8.236041253730033e-07,-3.659560369882976e-05,3.7468718432895892e-06,8.852579437903538e-06
celebrities::21892918566477480200155854255443225580146195615682253469077750770879493669279,-0.0010353637815257277,-0.0013431978051453707,-0.0010041026503564991,7.66148404199953e-05,0.9999999999999998,-0.0007123158451863857,0.0004988337527601136,0.060241345924934464,0.0015628878776185004,0.0011323344051642353,-0.0003960888816622808,1.5730628630764712e-05,0.0006989666923346604,-7.156429609575061e-05,-0.00016908200829976398
ligue-1::19730444129256957174015889379846911816814301308831812906398054285035177752584,-0.0005039936997010837,-0.000653840942985314,-0.0004887764268585,3.729452156263417e-05,-0.0007123158451863857,0.9999999999999999,0.00024282196564658174,0.01603708202206387,0.0007607815317802535,0.0005511969960129168,-0.00019280788495930711,7.657345045009183e-06,0.00034024254616909073,-3.483602092266657e-05,-8.230562864611415e-05
nba::24315108267836543154857233535536136482524552716493402526894829400485516895736,0.0003529460565678797,0.00045788386360019485,0.0003422894224776245,-2.611729933315683e-05,0.0004988337527601135,0.00024282196564658174,1.0,-0.00037910332017979234,-0.0005327742027544485,-0.0003860024564795161,0.21460410055269313,-5.362427623634057e-06,-0.00023827136136467703,2.439561490245565e-05,5.763851230921112e-05
middle-east::92230933527175957699173261837562970961226561473212829507303559647834156802557,0.0007868550293529422,0.001020802511400406,0.000763097217149473,-5.822569186137955e-05,0.06024134592493446,0.016037082022063866,-0.0003791033201797923,0.9999999999999999,-0.001187762416226948,-0.0008605506948484186,-0.2557000798684329,-1.1954951944299307e-05,-0.0005312002090736259,5.438738278256708e-05,0.0001284988242564435
ligue-1::49662274238485451283220527378586398370959042852997899886824914466317758572224,0.001105809521130104,0.001434588449194191,0.0010724213950385395,-8.182768366829358e-05,0.0015628878776185007,0.0007607815317802534,-0.0005327742027544485,-0.001187762416226948,0.9999999999999998,-0.0012093779874051823,0.0004230386115211433,-1.6800934341781484e-05,-0.0007465241078816386,7.643350231841986e-05,0.00018058628084724669
south-dakota-midterm::67967023811721834738685695249992484419619114809767608640505747182577663027691,0.0008011746615130077,0.0010393796519485737,0.0007769844912270596,0.014722839738393275,0.0011323344051642353,0.0005511969960129169,-0.0003860024564795161,-0.0008605506948484185,-0.0012093779874051823,1.0,0.000306497466259844,-1.2172514910725987e-05,-0.0005408672904463289,5.5377155086920745e-05,0.00013083731842336533
hockey::59261866601270864198456845856841875150453626184437295894384368539724334278520,-0.0002802496985409702,-0.00036357344798962533,-0.000271788013148309,2.0737914841707107e-05,-0.0003960888816622808,-0.00019280788495930714,0.21460410055269313,-0.2557000798684329,0.0004230386115211433,0.000306497466259844,1.0,4.25792751329953e-06,0.0001891945693988973,-1.9370846039810674e-05,-4.5766698333684765e-05
nba-champion::5644679982684846699855787022092402984369447277920326773883608030240292167917,1.1130087552907256e-05,1.4439281573198838e-05,1.0794032599926627e-05,-8.236041253730033e-07,1.5730628630764712e-05,7.657345045009183e-06,-5.362427623634057e-06,-1.1954951944299307e-05,-1.6800934341781484e-05,-1.2172514910725987e-05,4.25792751329953e-06,0.9999999999999999,-7.513842594326452e-06,7.693111304645646e-07,1.8176196517368585e-06
serie-a::11843131838379676792721059608342146205696413823676149302931627463939711085828,0.0004945486073602679,0.0006415876388539929,0.00047961651377143,-3.659560369882976e-05,0.0006989666923346605,0.00034024254616909073,-0.00023827136136467703,-0.000531200209073626,-0.0007465241078816386,-0.0005408672904463289,0.00018919456939889729,-7.513842594326451e-06,1.0,3.41831765823622e-05,8.07631802718693e-05
best-of-2025::63415064977569429650854303533694905713854849186055984415925532647266316927744,-5.063477753518887e-05,-6.568949316448595e-05,-4.9105942501070893e-05,3.7468718432895897e-06,-7.15642960957506e-05,-3.483602092266658e-05,2.4395614902455647e-05,5.438738278256708e-05,7.643350231841986e-05,5.537715508692074e-05,-1.9370846039810674e-05,7.693111304645645e-07,3.41831765823622e-05,1.0,-8.269006534924279e-06
epstein::108548893345759572446077602443398325305734327289834850738242401844282632332811,0.0032311537435477595,-0.0001552018539186575,-0.00011602058331468696,8.852579437903538e-06,-0.000169082008299764,-8.230562864611415e-05,5.763851230921111e-05,0.0001284988242564435,0.00018058628084724669,0.00013083731842336533,-4.5766698333684765e-05,1.8176196517368585e-06,8.076318027186929e-05,-8.26900653492428e-06,0.9999999999999999
